id,fips,date,newcase,newdeath
10368,12103,4/12/2020,9,1
10369,12103,4/13/2020,24,0
10370,12103,4/14/2020,15,1
10371,12103,4/15/2020,19,0
10372,12103,4/16/2020,17,0
10373,12103,4/17/2020,35,2
10374,12103,4/18/2020,22,0
10375,12103,4/19/2020,5,0
10376,12103,4/20/2020,15,0
10377,12103,4/21/2020,25,2
10378,12103,4/22/2020,9,3
10379,12103,4/23/2020,15,2
10380,12103,4/24/2020,17,1
10381,12103,4/25/2020,4,0
10382,12103,4/26/2020,10,0
10383,12103,4/27/2020,11,1
10384,12103,4/28/2020,11,6
10385,12103,4/29/2020,9,3
10386,12103,4/30/2020,11,3
10387,12103,5/1/2020,19,1
10388,12103,5/2/2020,9,3
10389,12103,5/3/2020,9,0
10390,12103,5/4/2020,18,1
10391,12103,5/5/2020,4,2
10392,12103,5/6/2020,13,6
10393,12103,5/7/2020,19,6
10394,12103,5/8/2020,8,3
10395,12103,5/9/2020,20,0
10396,12103,5/10/2020,13,1
10397,12103,5/11/2020,15,1
10398,12103,5/12/2020,33,1
10399,12103,5/13/2020,14,1
10400,12103,5/14/2020,39,2
10401,12103,5/15/2020,35,1
10402,12103,5/16/2020,11,1
10403,12103,5/17/2020,14,0
10404,12103,5/18/2020,29,1
10405,12103,5/19/2020,11,3
10406,12103,5/20/2020,13,1
10407,12103,5/21/2020,34,1
10408,12103,5/22/2020,7,0
10409,12103,5/23/2020,37,2
10410,12103,5/24/2020,20,0
10411,12103,5/25/2020,14,0
10412,12103,5/26/2020,9,0
10413,12103,5/27/2020,9,4
10414,12103,5/28/2020,13,1
10415,12103,5/29/2020,20,2
10416,12103,5/30/2020,24,0
10417,12103,5/31/2020,35,0
10418,12103,6/1/2020,16,1
10419,12103,6/2/2020,22,7
10420,12103,6/3/2020,26,0
10421,12103,6/4/2020,36,1
10422,12103,6/5/2020,81,4
10423,12103,6/6/2020,54,0
10424,12103,6/7/2020,52,0
10425,12103,6/8/2020,54,0
10426,12105,1/22/2020,,
10427,12105,1/23/2020,0,0
10428,12105,1/24/2020,0,0
10429,12105,1/25/2020,0,0
10430,12105,1/26/2020,0,0
10431,12105,1/27/2020,0,0
10432,12105,1/28/2020,0,0
10433,12105,1/29/2020,0,0
10434,12105,1/30/2020,0,0
10435,12105,1/31/2020,0,0
10436,12105,2/1/2020,0,0
10437,12105,2/2/2020,0,0
10438,12105,2/3/2020,0,0
10439,12105,2/4/2020,0,0
10440,12105,2/5/2020,0,0
10441,12105,2/6/2020,0,0
10442,12105,2/7/2020,0,0
10443,12105,2/8/2020,0,0
10444,12105,2/9/2020,0,0
10445,12105,2/10/2020,0,0
10446,12105,2/11/2020,0,0
10447,12105,2/12/2020,0,0
10448,12105,2/13/2020,0,0
10449,12105,2/14/2020,0,0
